image_id,wall_id,session,path,capture_session
wall02_s1_0020,wall02,wall02_s1_0020,images/wall02_s1_0020.jpg,2026-08-10-pm
wall02_s1_0021,wall02,wall02_s1_0021,images/wall02_s1_0021.jpg,2026-08-10-pm
wall03_s1_0001,wall03,wall03_s1_0001,images/wall03_s1_0001.jpg,2026-08-11-am
wall03_s1_0002,wall03,wall03_s1_0002,images/wall03_s1_0002.jpg,2026-08-11-am
wall03_s1_0003,wall03,wall03_s1_0003,images/wall03_s1_0003.jpg,2026-08-11-am
wall03_s1_0004,wall03,wall03_s1_0004,images/wall03_s1_0004.jpg,2026-08-11-am
wall03_s1_0005,wall03,wall03_s1_0005,images/wall03_s1_0005.jpg,2026-08-11-am
wall03_s1_0006,wall03,wall03_s1_0006,images/wall03_s1_0006.jpg,2026-08-11-am
wall03_s1_0007,wall03,wall03_s1_0007,images/wall03_s1_0007.jpg,2026-08-11-am
wall03_s1_0008,wall03,wall03_s1_0008,images/wall03_s1_0008.jpg,2026-08-11-am
wall04_s1_0001,wall04,wall04_s1_0001,images/wall04_s1_0001.jpg,2026-08-17-am
wall04_s1_0002,wall04,wall04_s1_0002,images/wall04_s1_0002.jpg,2026-08-17-am
wall04_s1_0003,wall04,wall04_s1_0003,images/wall04_s1_0003.jpg,2026-08-17-am
wall04_s1_0004,wall04,wall04_s1_0004,images/wall04_s1_0004.jpg,2026-08-17-am
wall04_s1_0005,wall04,wall04_s1_0005,images/wall04_s1_0005.jpg,2026-08-17-am
wall04_s1_0006,wall04,wall04_s1_0006,images/wall04_s1_0006.jpg,2026-08-17-am
wall04_s1_0007,wall04,wall04_s1_0007,images/wall04_s1_0007.jpg,2026-08-17-am
wall04_s1_0008,wall04,wall04_s1_0008,images/wall04_s1_0008.jpg,2026-08-17-am
wall04_s1_0009,wall04,wall04_s1_0009,images/wall04_s1_0009.jpg,2026-08-17-am
wall04_s1_0010,wall04,wall04_s1_0010,images/wall04_s1_0010.jpg,2026-08-17-am
wall04_s1_0011,wall04,wall04_s1_0011,images/wall04_s1_0011.jpg,2026-08-17-am
wall05_s1_0001,wall05,wall05_s1_0001,images/wall05_s1_0001.jpg,2026-08-17-am
wall05_s1_0002,wall05,wall05_s1_0002,images/wall05_s1_0002.jpg,2026-08-17-am
wall05_s1_0003,wall05,wall05_s1_0003,images/wall05_s1_0003.jpg,2026-08-17-am
wall05_s1_0004,wall05,wall05_s1_0004,images/wall05_s1_0004.jpg,2026-08-17-am
wall05_s1_0005,wall05,wall05_s1_0005,images/wall05_s1_0005.jpg,2026-08-17-am
wall05_s1_0006,wall05,wall05_s1_0006,images/wall05_s1_0006.jpg,2026-08-17-am
wall05_s1_0007,wall05,wall05_s1_0007,images/wall05_s1_0007.jpg,2026-08-17-am
wall05_s1_0008,wall05,wall05_s1_0008,images/wall05_s1_0008.jpg,2026-08-17-am
wall05_s1_0009,wall05,wall05_s1_0009,images/wall05_s1_0009.jpg,2026-08-17-am
wall05_s1_0010,wall05,wall05_s1_0010,images/wall05_s1_0010.jpg,2026-08-17-am
wall06_s1_0001,wall06,wall06_s1_0001,images/wall06_s1_0001.jpg,2026-08-17-am
wall06_s1_0002,wall06,wall06_s1_0002,images/wall06_s1_0002.jpg,2026-08-17-am
wall06_s1_0003,wall06,wall06_s1_0003,images/wall06_s1_0003.jpg,2026-08-17-am
wall06_s1_0004,wall06,wall06_s1_0004,images/wall06_s1_0004.jpg,2026-08-17-am
wall06_s1_0005,wall06,wall06_s1_0005,images/wall06_s1_0005.jpg,2026-08-17-am
wall06_s1_0006,wall06,wall06_s1_0006,images/wall06_s1_0006.jpg,2026-08-17-am
wall06_s1_0007,wall06,wall06_s1_0007,images/wall06_s1_0007.jpg,2026-08-17-am
wall06_s1_0008,wall06,wall06_s1_0008,images/wall06_s1_0008.jpg,2026-08-17-am
wall07_s1_0001,wall07,wall07_s1_0001,images/wall07_s1_0001.jpg,2026-08-17-am
wall07_s1_0002,wall07,wall07_s1_0002,images/wall07_s1_0002.jpg,2026-08-17-am
wall07_s1_0003,wall07,wall07_s1_0003,images/wall07_s1_0003.jpg,2026-08-17-am
wall07_s1_0004,wall07,wall07_s1_0004,images/wall07_s1_0004.jpg,2026-08-17-am
wall08_s1_0001,wall08,wall08_s1_0001,images/wall08_s1_0001.jpg,2026-08-17-am
wall08_s1_0002,wall08,wall08_s1_0002,images/wall08_s1_0002.jpg,2026-08-17-am
wall09_s1_0001,wall09,wall09_s1_0001,images/wall09_s1_0001.jpg,2026-08-17-am
wall09_s1_0002,wall09,wall09_s1_0002,images/wall09_s1_0002.jpg,2026-08-17-am
wall09_s1_0003,wall09,wall09_s1_0003,images/wall09_s1_0003.jpg,2026-08-17-am
wall09_s1_0004,wall09,wall09_s1_0004,images/wall09_s1_0004.jpg,2026-08-17-am
wall09_s1_0005,wall09,wall09_s1_0005,images/wall09_s1_0005.jpg,2026-08-17-am
wall09_s1_0006,wall09,wall09_s1_0006,images/wall09_s1_0006.jpg,2026-08-17-am
wall09_s1_0007,wall09,wall09_s1_0007,images/wall09_s1_0007.jpg,2026-08-17-am
wall09_s1_0008,wall09,wall09_s1_0008,images/wall09_s1_0008.jpg,2026-08-17-am
wall09_s1_0009,wall09,wall09_s1_0009,images/wall09_s1_0009.jpg,2026-08-17-am
wall09_s1_0010,wall09,wall09_s1_0010,images/wall09_s1_0010.jpg,2026-08-17-am
wall09_s1_0011,wall09,wall09_s1_0011,images/wall09_s1_0011.jpg,2026-08-17-am
wall09_s1_0012,wall09,wall09_s1_0012,images/wall09_s1_0012.jpg,2026-08-17-am
wall10_s1_0001,wall10,wall10_s1_0001,images/wall10_s1_0001.jpg,2026-08-17-am
wall10_s1_0002,wall10,wall10_s1_0002,images/wall10_s1_0002.jpg,2026-08-17-am
wall11_s1_0001,wall11,wall11_s1_0001,images/wall11_s1_0001.jpg,2026-08-17-am
wall11_s1_0002,wall11,wall11_s1_0002,images/wall11_s1_0002.jpg,2026-08-17-am
wall11_s1_0003,wall11,wall11_s1_0003,images/wall11_s1_0003.jpg,2026-08-17-am
wall11_s1_0004,wall11,wall11_s1_0004,images/wall11_s1_0004.jpg,2026-08-17-am
wall12_s1_0001,wall12,wall12_s1_0001,images/wall12_s1_0001.jpg,2026-08-17-am
wall12_s1_0002,wall12,wall12_s1_0002,images/wall12_s1_0002.jpg,2026-08-17-am
wall12_s1_0003,wall12,wall12_s1_0003,images/wall12_s1_0003.jpg,2026-08-17-am
wall12_s1_0004,wall12,wall12_s1_0004,images/wall12_s1_0004.jpg,2026-08-17-am
wall12_s1_0005,wall12,wall12_s1_0005,images/wall12_s1_0005.jpg,2026-08-17-am
wall12_s1_0006,wall12,wall12_s1_0006,images/wall12_s1_0006.jpg,2026-08-17-am
wall12_s1_0007,wall12,wall12_s1_0007,images/wall12_s1_0007.jpg,2026-08-17-am
wall12_s1_0008,wall12,wall12_s1_0008,images/wall12_s1_0008.jpg,2026-08-17-am
wall12_s1_0009,wall12,wall12_s1_0009,images/wall12_s1_0009.jpg,2026-08-17-am
wall13_s1_0001,wall13,wall13_s1_0001,images/wall13_s1_0001.jpg,2026-08-12-pm
wall13_s1_0002,wall13,wall13_s1_0002,images/wall13_s1_0002.jpg,2026-08-12-pm
wall13_s1_0003,wall13,wall13_s1_0003,images/wall13_s1_0003.jpg,2026-08-12-pm
wall13_s1_0004,wall13,wall13_s1_0004,images/wall13_s1_0004.jpg,2026-08-12-pm
wall13_s1_0005,wall13,wall13_s1_0005,images/wall13_s1_0005.jpg,2026-08-12-pm
wall13_s1_0006,wall13,wall13_s1_0006,images/wall13_s1_0006.jpg,2026-08-12-pm
wall13_s1_0007,wall13,wall13_s1_0007,images/wall13_s1_0007.jpg,2026-08-12-pm
wall13_s1_0008,wall13,wall13_s1_0008,images/wall13_s1_0008.jpg,2026-08-12-pm
wall13_s1_0009,wall13,wall13_s1_0009,images/wall13_s1_0009.jpg,2026-08-12-pm
wall14_s1_0001,wall14,wall14_s1_0001,images/wall14_s1_0001.jpg,2026-08-12-pm
wall14_s1_0002,wall14,wall14_s1_0002,images/wall14_s1_0002.jpg,2026-08-12-pm
wall14_s1_0003,wall14,wall14_s1_0003,images/wall14_s1_0003.jpg,2026-08-12-pm
wall14_s1_0004,wall14,wall14_s1_0004,images/wall14_s1_0004.jpg,2026-08-12-pm
wall14_s1_0005,wall14,wall14_s1_0005,images/wall14_s1_0005.jpg,2026-08-12-pm
wall14_s1_0006,wall14,wall14_s1_0006,images/wall14_s1_0006.jpg,2026-08-12-pm
wall14_s1_0007,wall14,wall14_s1_0007,images/wall14_s1_0007.jpg,2026-08-12-pm
wall14_s1_0008,wall14,wall14_s1_0008,images/wall14_s1_0008.jpg,2026-08-12-pm
wall14_s1_0009,wall14,wall14_s1_0009,images/wall14_s1_0009.jpg,2026-08-12-pm
wall15_s1_0001,wall15,wall15_s1_0001,images/wall15_s1_0001.jpg,2026-08-12-pm
wall15_s1_0002,wall15,wall15_s1_0002,images/wall15_s1_0002.jpg,2026-08-12-pm
wall15_s1_0003,wall15,wall15_s1_0003,images/wall15_s1_0003.jpg,2026-08-12-pm
wall15_s1_0004,wall15,wall15_s1_0004,images/wall15_s1_0004.jpg,2026-08-12-pm
wall15_s1_0005,wall15,wall15_s1_0005,images/wall15_s1_0005.jpg,2026-08-12-pm
wall15_s1_0006,wall15,wall15_s1_0006,images/wall15_s1_0006.jpg,2026-08-12-pm
wall15_s1_0007,wall15,wall15_s1_0007,images/wall15_s1_0007.jpg,2026-08-12-pm
wall16_s1_0001,wall16,wall16_s1_0001,images/wall16_s1_0001.jpg,2026-08-12-pm
wall16_s1_0002,wall16,wall16_s1_0002,images/wall16_s1_0002.jpg,2026-08-12-pm
wall16_s1_0003,wall16,wall16_s1_0003,images/wall16_s1_0003.jpg,2026-08-12-pm
wall16_s1_0004,wall16,wall16_s1_0004,images/wall16_s1_0004.jpg,2026-08-12-pm
wall16_s1_0005,wall16,wall16_s1_0005,images/wall16_s1_0005.jpg,2026-08-12-pm
wall16_s1_0006,wall16,wall16_s1_0006,images/wall16_s1_0006.jpg,2026-08-12-pm
wall16_s1_0007,wall16,wall16_s1_0007,images/wall16_s1_0007.jpg,2026-08-12-pm
wall16_s1_0008,wall16,wall16_s1_0008,images/wall16_s1_0008.jpg,2026-08-12-pm
wall16_s1_0009,wall16,wall16_s1_0009,images/wall16_s1_0009.jpg,2026-08-12-pm
wall16_s1_0010,wall16,wall16_s1_0010,images/wall16_s1_0010.jpg,2026-08-12-pm
wall16_s1_0011,wall16,wall16_s1_0011,images/wall16_s1_0011.jpg,2026-08-12-pm
wall16_s1_0012,wall16,wall16_s1_0012,images/wall16_s1_0012.jpg,2026-08-12-pm
wall16_s1_0013,wall16,wall16_s1_0013,images/wall16_s1_0013.jpg,2026-08-12-pm
wall16_s1_0014,wall16,wall16_s1_0014,images/wall16_s1_0014.jpg,2026-08-12-pm
wall17_s1_0001,wall17,wall17_s1_0001,images/wall17_s1_0001.jpg,2026-08-12-pm
wall17_s1_0002,wall17,wall17_s1_0002,images/wall17_s1_0002.jpg,2026-08-12-pm
